"genres;  homepage; title_movie; production_countries; Release_year; Runtime; tagline"
" Adventure,Fantasy, Family; http://harrypotter.warnerbros.com/; Harry Potter and the Goblet of Fire; United Kingdom, United States of America; 2005; 157; Dark And Difficult Times Lie Ahead."
"Fantasy,Action; http://www.sonypictures.com/movies/hancock/; Hancock; United States of America; 2008; 92; Bad Behavior. Bad Attitude. Real Hero."
"Drama,Horror, Action, Thriller, Science Fiction; http://iamlegend.warnerbros.com/; I Am Legend; United States of America; 2007; 101; The last man on Earth is not alone"
"Adventure, Comedy, Family,Fantasy; https://www.warnerbros.com/charlie-and-chocolate-factory; Charlie and the Chocolate Factory; Australia, United Kingdom, United States of America; 2005; 115; Willy Wonka is semi-sweet and nuts."
"Animation, Comedy, Family, Fantasy; http://disney.go.com/disneypictures/ratatouille/; Ratatouille; United States of America; 2007; 111; He's dying to become a chef."
"Family, Animation; http://www.madagascar-themovie.com; Madagascar: Escape 2 Africa; United States of America; 2008; 89; Still together. Still lost!"
"Adventure, Fantasy,Action,Comedy, Family; http://www.nightatthemuseummovie.com; Night at the Museum: Battle of the Smithsonian; United States of America, Canada; 2009; 105; When the lights go off the battle is on."
"Adventure,Action,Thriller, Science Fiction; http://www.x-menorigins.com/; X-Men Origins: Wolverine;  United States of America; 2009; 107; Witness the Origin."
"Animation,Adventure,Family; http://movies.disney.com/frozen; Frozen;  United States of America; 2013; 102; Only the act of true love will thaw a frozen heart."
"Action,Adventure, Fantasy; http://marvel.com/thor; Thor: The Dark World; United States of America; 2013; 112; Delve into the darkness"
"Action,Adventure,Science Fiction,Thriller; http://www.madmaxmovie.com/; Mad Max: Fury Road; Australia,United States of America; 2015; 120; What a Lovely Day."
"Thriller,: Mystery; http://www.angelsanddemons.com/; Angels & Demons; Italy,United States of America; 2009; 138; "
"Adventure Fantasy, Action; http://thor.marvel.com/; Thor; United States of America; 2011; 115; Two worlds. One hero."
"Animation,Family,Adventure, Comedy; http://movies.disney.com/bolt; Bolt; United States of America; 2008; 98; Fully Awesome. Ridonculous. Let It Begin."
"Comedy; http://www.sonypictures.com/movies/funwithdickandjane/; Fun with Dick and Jane; United States of America; 2005; 90; Giving big businesses a run for their money!"
"Adventure,Drama,Action; http://www.exodusgodsandkings.com/; Exodus: Gods and Kings;  Spain, United Kingdom, United States of America; 2014; 150; Once brothers, now enemies."
"Science Fiction, Action, Adventure; ; Star Trek; Germany,United States of America; 2009; 127; The future begins."
"Fantasy, Action; http://www.sonypictures.com/movies/spider-man/; Spider-Man; United States of America; 2002; 121; With great power comes great responsibility."
"Fantasy, Action, Adventure,Animation,Comedy,Family; http://www.howtotrainyourdragon.com/; How to Train Your Dragon 2; United States of America; 2014; 102; The training is over."
"Fantasy; ; Gods of Egypt; Australia, United States of America; 2016; 127; The battle for eternity begins"
"Action; ; Stealth; United States of America; 2005; 121; Fear The Sky"
"Action, Mystery, Science Fiction; https://www.warnerbros.com/watchmen; Watchmen; United States of America; 2009; 163; Justice is coming to all of us.  No matter what we do."
"Drama, Action, Science Fiction; ; Hulk; United States of America; 2003; 138; Unleash the hero within"
"Adventure,Action, Animation, Fantasy,Science Fiction,Thriller; ; Final Fantasy: The Spirits Within; Japan.United States of America; 2001; 106; Unleash a new reality"
"Thriller,Action, Drama; http://www.thekingdommovie.com/; The Kingdom; Germany, United States of America; 2007; 110; How do you stop an enemy who isn't afraid to die?"
"Comedy; http://www.sonypictures.com/homevideo/talladeganights/; Talladega Nights: The Ballad of Ricky Bobby; United States of America; 2006; 116; The story of a man who could only count to #1"
"Comedy,Family,Romance, Fantasy; ; Dr. Dolittle 2; United States of America; 2001; 87; The doctor is in again."
"Drama, Thriller,Science Fiction,Mystery; ; Signs; [ United States of America; 2002; 106; It’s not like they didn’t warn us."
"Adventure, Animation,Comedy,Family,Fantasy; http://www.shrek2.com/; Shrek 2; United States of America; 2004; 93; Once upon another time..."
"Animation, Adventure,Comedy,Family; http://disney.go.com/disneyvideos/animatedfilms/cars/; Cars; United States of America; 2006; 117; Ahhh... it's got that new movie smell."
"Comedy, Romance; ; Runaway Bride; United States of America; 1999; 116; Catch her if you can."
"Action, Adventure, Thriller; http://www.sonypictures.com/movies/xxx/; xXx; United States of America; 2002; 124; A New Breed Of Secret Agent."
"Animation,Adventure,Comedy,Family; http://www.spongebobmovie.com/; The SpongeBob Movie: Sponge Out of Water; United States of America; 2015; 93; He's leaving his world behind."
"Horror,Action,Drama,Fantasy,War; ; Dracula Untold; United States of America; 2014; 92; Every bloodline has a beginning"
"Thriller; ; Hard Rain;  Denmark,France,New Zealand, United Kingdom,United States of America; 1998; 97; In the worst storm in living memory, one guard stands between five men and three million dollars."
"Adventure, Animation, Action, Comedy, Family; http://www.osmosisjones.com/; Osmosis Jones;  United States of America; 2001; 95; Every BODY needs a hero"
"Crime,Drama, Mystery; http://www.legendary.com/film/blackhat/; Blackhat; United States of America; 2015; 133; We are no longer in control."
"Mystery,Action, Thriller, Science Fiction, Adventure; http://www.skycaptain.com/; Sky Captain and the World of Tomorrow; United Kingdom, United States of America; 2004; 107; Who will save us?"
